model,split,threshold_strategy,class,precision,recall,f1,support
densenet121_chexpert,train  ,f1opt             ,Mass              ,0.151,0.3116,0.2034,1136
densenet121_chexpert,train  ,f1opt             ,Nodule            ,0.1188,0.3331,0.1751,1252
densenet121_chexpert,train  ,f1opt             ,Pleural_Thickening,0.0829,0.2983,0.1297,704
densenet121_chexpert,train  ,f1opt             ,Pneumonia         ,0.0668,0.1371,0.0898,248
densenet121_chexpert,train  ,f1opt             ,Pneumothorax      ,0.2021,0.3312,0.251,1084
densenet121_chexpert,train  ,f1opt             ,<micro avg>       ,0.1845,0.4539,0.2623,15736
densenet121_chexpert,train  ,f1opt             ,<macro avg>       ,0.1368,0.3418,0.1927,15736
densenet121_chexpert,train  ,f1opt             ,<weighted avg>    ,0.1972,0.4539,0.2729,15736
densenet121_chexpert,heldout,f1opt             ,Atelectasis       ,0.1899,0.437,0.2648,508
densenet121_chexpert,heldout,f1opt             ,Cardiomegaly      ,0.0854,0.1915,0.1182,141
densenet121_chexpert,heldout,f1opt             ,Consolidation     ,0.1053,0.3894,0.1657,226
densenet121_chexpert,heldout,f1opt             ,Edema             ,0.1003,0.2712,0.1465,118
densenet121_chexpert,heldout,f1opt             ,Effusion          ,0.2759,0.6537,0.388,644
densenet121_chexpert,heldout,f1opt             ,Emphysema         ,0.0716,0.1969,0.105,127
densenet121_chexpert,heldout,f1opt             ,Fibrosis          ,0.0359,0.1786,0.0598,84
densenet121_chexpert,heldout,f1opt             ,Hernia            ,0.0,0.0,0.0,13
densenet121_chexpert,heldout,f1opt             ,Infiltration      ,0.2726,0.546,0.3636,967
densenet121_chexpert,heldout,f1opt             ,Mass              ,0.1429,0.2923,0.1919,284
densenet121_chexpert,heldout,f1opt             ,Nodule            ,0.105,0.2843,0.1533,313
densenet121_chexpert,heldout,f1opt             ,Pleural_Thickening,0.0729,0.267,0.1145,176
densenet121_chexpert,heldout,f1opt             ,Pneumonia         ,0.0376,0.0806,0.0513,62
densenet121_chexpert,heldout,f1opt             ,Pneumothorax      ,0.1888,0.31,0.2346,271
densenet121_chexpert,heldout,f1opt             ,<micro avg>       ,0.1745,0.4235,0.2472,3934
densenet121_chexpert,heldout,f1opt             ,<macro avg>       ,0.1203,0.2927,0.1684,3934
densenet121_chexpert,heldout,f1opt             ,<weighted avg>    ,0.1874,0.4235,0.2581,3934
efficientnet_b0     ,train  ,youden            ,Atelectasis       ,0.1903,0.752,0.3037,2032
efficientnet_b0     ,train  ,youden            ,Cardiomegaly      ,0.0647,0.8422,0.1202,564
efficientnet_b0     ,train  ,youden            ,Consolidation     ,0.0786,0.917,0.1447,904
efficientnet_b0     ,train  ,youden            ,Edema             ,0.0577,0.9195,0.1086,472
efficientnet_b0     ,train  ,youden            ,Effusion          ,0.2186,0.887,0.3507,2576
efficientnet_b0     ,train  ,youden            ,Emphysema         ,0.0679,0.7933,0.1251,508
efficientnet_b0     ,train  ,youden            ,Fibrosis          ,0.0259,0.8661,0.0503,336
efficientnet_b0     ,train  ,youden            ,Hernia            ,0.01,1.0,0.0198,52
efficientnet_b0     ,train  ,youden            ,Infiltration      ,0.2966,0.5349,0.3816,3868
efficientnet_b0     ,train  ,youden            ,Mass              ,0.1005,0.7386,0.1769,1136
efficientnet_b0     ,train  ,youden            ,Nodule            ,0.1132,0.5735,0.1891,1252
efficientnet_b0     ,train  ,youden            ,Pleural_Thickening,0.0519,0.8991,0.0982,704
efficientnet_b0     ,train  ,youden            ,Pneumonia         ,0.0284,0.9274,0.0551,248
efficientnet_b0     ,train  ,youden            ,Pneumothorax      ,0.1317,0.8192,0.2269,1084
efficientnet_b0     ,train  ,youden            ,<micro avg>       ,0.1015,0.7419,0.1786,15736
efficientnet_b0     ,train  ,youden            ,<macro avg>       ,0.1026,0.8193,0.1679,15736
efficientnet_b0     ,train  ,youden            ,<weighted avg>    ,0.1727,0.7419,0.2602,15736
efficientnet_b0     ,heldout,youden            ,Atelectasis       ,0.173,0.6969,0.2772,508
efficientnet_b0     ,heldout,youden            ,Cardiomegaly      ,0.0526,0.695,0.0978,141
efficientnet_b0     ,heldout,youden            ,Consolidation     ,0.0741,0.854,0.1363,226
efficientnet_b0     ,heldout,youden            ,Edema             ,0.0543,0.8475,0.1021,118
efficientnet_b0     ,heldout,youden            ,Effusion          ,0.21,0.8634,0.3378,644
efficientnet_b0     ,heldout,youden            ,Emphysema         ,0.0595,0.6929,0.1097,127
efficientnet_b0     ,heldout,youden            ,Fibrosis          ,0.0214,0.75,0.0415,84
efficientnet_b0     ,heldout,youden            ,Hernia            ,0.007,0.6923,0.0139,13
efficientnet_b0     ,heldout,youden            ,Infiltration      ,0.281,0.5057,0.3613,967
efficientnet_b0     ,heldout,youden            ,Mass              ,0.0855,0.6338,0.1507,284
efficientnet_b0     ,heldout,youden            ,Nodule            ,0.0948,0.492,0.159,313
efficientnet_b0     ,heldout,youden            ,Pleural_Thickening,0.047,0.8239,0.089,176
efficientnet_b0     ,heldout,youden            ,Pneumonia         ,0.0217,0.7258,0.0421,62
efficientnet_b0     ,heldout,youden            ,Pneumothorax      ,0.1131,0.7085,0.1951,271
efficientnet_b0     ,heldout,youden            ,<micro avg>       ,0.0918,0.6777,0.1617,3934
efficientnet_b0     ,heldout,youden            ,<macro avg>       ,0.0925,0.713,0.151,3934
efficientnet_b0     ,heldout,youden            ,<weighted avg>    ,0.1599,0.6777,0.2404,3934
efficientnet_b0     ,train  ,f1opt             ,Atelectasis       ,0.2404,0.5349,0.3317,2032
efficientnet_b0     ,train  ,f1opt             ,Cardiomegaly      ,0.1976,0.3209,0.2446,564
efficientnet_b0     ,train  ,f1opt             ,Consolidation     ,0.1689,0.4392,0.2439,904
efficientnet_b0     ,train  ,f1opt             ,Edema             ,0.1697,0.5106,0.2548,472
efficientnet_b0     ,train  ,f1opt             ,Effusion          ,0.3033,0.6258,0.4086,2576
efficientnet_b0     ,train  ,f1opt             ,Emphysema         ,0.1985,0.374,0.2594,508
efficientnet_b0     ,train  ,f1opt             ,Fibrosis          ,0.1661,0.1548,0.1602,336
efficientnet_b0     ,train  ,f1opt             ,Hernia            ,0.45,0.3462,0.3913,52
efficientnet_b0     ,train  ,f1opt             ,Infiltration      ,0.3116,0.5008,0.3842,3868
efficientnet_b0     ,train  ,f1opt             ,Mass              ,0.1907,0.3724,0.2522,1136
efficientnet_b0     ,train  ,f1opt             ,Nodule            ,0.1884,0.278,0.2246,1252
efficientnet_b0     ,train  ,f1opt             ,Pleural_Thickening,0.1328,0.3679,0.1952,704
efficientnet_b0     ,train  ,f1opt             ,Pneumonia         ,0.1261,0.3427,0.1844,248
efficientnet_b0     ,train  ,f1opt             ,Pneumothorax      ,0.2116,0.5111,0.2993,1084
efficientnet_b0     ,train  ,f1opt             ,<micro avg>       ,0.2355,0.4692,0.3136,15736
efficientnet_b0     ,train  ,f1opt             ,<macro avg>       ,0.2183,0.4057,0.2739,15736
efficientnet_b0     ,train  ,f1opt             ,<weighted avg>    ,0.2419,0.4692,0.316,15736
efficientnet_b0     ,heldout,f1opt             ,Atelectasis       ,0.2007,0.4528,0.2781,508
efficientnet_b0     ,heldout,f1opt             ,Cardiomegaly      ,0.1005,0.156,0.1222,141
efficientnet_b0     ,heldout,f1opt             ,Consolidation     ,0.1115,0.2788,0.1593,226
efficientnet_b0     ,heldout,f1opt             ,Edema             ,0.0894,0.2712,0.1345,118
efficientnet_b0     ,heldout,f1opt             ,Effusion          ,0.2747,0.5652,0.3697,644
efficientnet_b0     ,heldout,f1opt             ,Emphysema         ,0.0854,0.1339,0.1043,127
efficientnet_b0     ,heldout,f1opt             ,Fibrosis          ,0.0541,0.0476,0.0506,84
efficientnet_b0     ,heldout,f1opt             ,Hernia            ,0.0,0.0,0.0,13
efficientnet_b0     ,heldout,f1opt             ,Infiltration      ,0.2878,0.4623,0.3548,967
efficientnet_b0     ,heldout,f1opt             ,Mass              ,0.1436,0.2817,0.1902,284
efficientnet_b0     ,heldout,f1opt             ,Nodule            ,0.1224,0.1885,0.1484,313
efficientnet_b0     ,heldout,f1opt             ,Pleural_Thickening,0.0837,0.2273,0.1223,176
efficientnet_b0     ,heldout,f1opt             ,Pneumonia         ,0.0225,0.0645,0.0333,62
efficientnet_b0     ,heldout,f1opt             ,Pneumothorax      ,0.1617,0.3838,0.2276,271
efficientnet_b0     ,heldout,f1opt             ,<micro avg>       ,0.1883,0.3726,0.2502,3934
efficientnet_b0     ,heldout,f1opt             ,<macro avg>       ,0.1241,0.251,0.164,3934
efficientnet_b0     ,heldout,f1opt             ,<weighted avg>    ,0.1936,0.3726,0.2529,3934
