layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac
block3,xgradcam,aug,320,0.07547169811320754,4,53,0.0413786170656026,0.0583252922922841,0.10637969341830665,0.0709532674367096,0.08436082444101009
block3,xgradcam,eigen,224,0.1320754716981132,7,53,0.06378681804080856,0.07879150503180393,0.12493020639190541,0.09930518410310193,0.06404653585182046
block3,xgradcam,eigen,320,0.11320754716981132,6,53,0.02542083583152979,0.03732592979462548,0.06915723933073319,0.07123763420731812,0.044902675556686686
block3,xgradcam,both,224,0.1509433962264151,8,53,0.06665251973355564,0.0749452397332414,0.18295357084520947,0.0831332015253657,0.11570410458546765
block3,xgradcam,both,320,0.11320754716981132,6,53,0.06475958554203723,0.08649657621590506,0.20029533568716185,0.08779087208623187,0.09875105012137934
block3+4,gradcam,none,224,0.4716981132075472,25,53,0.2243249904151947,0.22316929596904994,0.5085878829607313,0.20743032131858866,0.0977357288576522
block3+4,gradcam,none,320,0.5660377358490566,30,53,0.19116555773838262,0.20425107441417606,0.37932492562575637,0.21903176275866018,0.061156092949633326
block3+4,gradcam,aug,224,0.49056603773584906,26,53,0.22805469383062077,0.22357481734995432,0.5558334625789854,0.2053148809904024,0.11002114134014777
block3+4,gradcam,aug,320,0.5283018867924528,28,53,0.209085826360942,0.2086600371007736,0.41575670013222615,0.221316548283637,0.06559803800762824
block3+4,gradcam,eigen,224,0.37735849056603776,20,53,0.20888827710235358,0.1809756433861892,0.6115245976228193,0.17718262119924116,0.16949401711517909
block3+4,gradcam,eigen,320,0.41509433962264153,22,53,0.2016044389331528,0.1956212214014119,0.48763071401133634,0.19678008112534318,0.10320605871812352
block3+4,gradcam,both,224,0.39622641509433965,21,53,0.21534453429121164,0.17447686992567277,0.6147673322749009,0.1639117450503641,0.16817202658023475
block3+4,gradcam,both,320,0.39622641509433965,21,53,0.20726452514393032,0.19347318656562468,0.4805996512974339,0.19062058479963098,0.09799941080921101
block3+4,gradcam++,none,224,0.39622641509433965,21,53,0.23176751913753432,0.21410313748128648,0.6866245617947201,0.1908608943946594,0.17894505554775023
block3+4,gradcam++,none,320,0.24528301886792453,13,53,0.22555334799790908,0.23067072093711857,0.5122003760984667,0.22465269891331907,0.11038774814245836
block3+4,gradcam++,aug,224,0.5283018867924528,28,53,0.23274301646596532,0.20930239669956685,0.7171771169526585,0.18782830968013103,0.18673231016914799
block3+4,gradcam++,aug,320,0.33962264150943394,18,53,0.23120175652119246,0.22308290529109556,0.5736004091726806,0.21957106385601954,0.11950850936601747
block3+4,gradcam++,eigen,224,0.37735849056603776,20,53,0.21618874885834594,0.18431618355875198,0.6002807500311124,0.17685235616112988,0.16171737886824697
block3+4,gradcam++,eigen,320,0.39622641509433965,21,53,0.20232111055220198,0.1901486907270334,0.48724167018135367,0.18555726828470784,0.10734128052333616
block3+4,gradcam++,both,224,0.4339622641509434,23,53,0.22862906332571992,0.18140475981291437,0.6050052690124328,0.16336673948852468,0.1581795890376253
