image,condition,parse_ok,error,seconds,n_present,n_flagged,n_truth,n_unsupported_vs_clf,n_omit_vs_clf,n_unsupported_but_true,n_unsupported_and_false,unsupported_rate_vs_clf,omit_rate_vs_clf,n_false_vs_truth,precision_vs_truth,recall_vs_truth,normal_film_kept_clean,loc_agree,n_loc_checked
00014095_002.png,B,True,False,10.6,4,3,2,1,0,0,1,0.25,0.0,2,0.5,1.0,,,0
00014095_002.png,C,True,False,12.1,4,3,2,1,0,0,1,0.25,0.0,2,0.5,1.0,,1.0,3
00013111_063.png,A,True,False,38.5,2,2,2,0,0,0,0,0.0,0.0,0,1.0,1.0,,,0
00013111_063.png,B,True,False,9.3,2,2,2,0,0,0,0,0.0,0.0,0,1.0,1.0,,,0
00013111_063.png,C,True,False,13.5,4,2,2,2,0,0,2,0.5,0.0,2,0.5,1.0,,1.0,2
00015530_147.png,A,True,False,36.5,4,2,1,4,2,0,4,1.0,1.0,4,0.0,0.0,,,0
00015530_147.png,B,True,False,14.9,9,2,1,7,0,0,7,0.7778,0.0,8,0.1111,1.0,,,0
00015530_147.png,C,True,False,15.9,9,2,1,7,0,0,7,0.7778,0.0,8,0.1111,1.0,,1.0,2
00015646_010.png,A,True,False,32.5,7,3,2,5,1,0,5,0.7143,0.3333,6,0.1429,0.5,,,0
00015646_010.png,B,True,False,13.4,12,3,2,9,0,0,9,0.75,0.0,10,0.1667,1.0,,,0
00015646_010.png,C,True,False,13.1,8,3,2,5,0,0,5,0.625,0.0,6,0.25,1.0,,1.0,3
00020819_011.png,A,True,False,33.8,0,3,4,0,3,0,0,0.0,1.0,0,,0.0,,,0
00020819_011.png,B,True,False,13.5,6,3,4,3,0,1,2,0.5,0.0,3,0.5,0.75,,,0
00020819_011.png,C,True,False,11.7,5,3,4,2,0,0,2,0.4,0.0,3,0.4,0.5,,1.0,3
00001373_010.png,A,True,False,30.6,1,1,3,0,0,0,0,0.0,0.0,0,1.0,0.3333,,,0
00001373_010.png,B,True,False,11.4,5,1,3,4,0,1,3,0.8,0.0,3,0.4,0.6667,,,0
